ds,yhat,yhat_lower,yhat_upper,model
1970-01-02 00:00:00.000001959,69349.33333333333,66797.80894658527,71900.85772008139,arima
1970-01-03 00:00:00.000001959,70043.66666666666,66435.26627420184,73652.06705913147,arima
1970-01-04 00:00:00.000001959,70737.99999999999,66318.63012540131,75157.36987459866,arima
1970-01-05 00:00:00.000001959,71432.33333333331,66329.28455983718,76535.38210682945,arima
1970-01-06 00:00:00.000001959,72126.66666666664,66421.2846916495,77832.04864168378,arima
1970-01-07 00:00:00.000001959,72820.99999999997,66571.06718619945,79070.9328138005,arima
1970-01-08 00:00:00.000001959,73515.3333333333,66764.63434188133,80266.03232478526,arima
1970-01-09 00:00:00.000001959,74209.66666666663,66992.86588173702,81426.46745159624,arima
1970-01-10 00:00:00.000001959,74903.99999999996,67249.42683975576,82558.57316024415,arima
1970-01-11 00:00:00.000001959,75598.33333333328,67529.70476574506,83666.96190092151,arima
1970-01-12 00:00:00.000001959,76292.66666666661,67830.21763238162,84755.1157009516,arima
1970-01-13 00:00:00.000001959,76986.99999999994,68148.2602508026,85825.73974919728,arima
1970-01-14 00:00:00.000001959,77681.33333333327,68481.68132631632,86880.98534035022,arima
1970-01-15 00:00:00.000001959,78375.6666666666,68828.73659745685,87922.59673587634,arima
1970-01-16 00:00:00.000001959,79069.99999999993,69187.98854268258,88952.01145731728,arima
1970-01-17 00:00:00.000001959,79764.33333333326,69558.235786341,89970.43088032551,arima
1970-01-18 00:00:00.000001959,80458.66666666658,69938.46211376498,90978.87121956819,arima
1970-01-19 00:00:00.000001959,81152.99999999991,70327.79882260549,91978.20117739434,arima
1970-01-20 00:00:00.000001959,81847.33333333324,70725.49637951884,92969.17028714764,arima
1970-01-21 00:00:00.000001959,82541.66666666657,71130.90271663229,93952.43061670085,arima
1970-01-22 00:00:00.000001959,83235.9999999999,71543.44636020111,94928.55363979869,arima
1970-01-23 00:00:00.000001959,83930.33333333323,71962.62313815628,95898.04352851017,arima
1970-01-24 00:00:00.000001959,84624.66666666656,72387.98558019903,96861.34775313408,arima
1970-01-25 00:00:00.000001959,85318.99999999988,72819.13437239884,97818.86562760093,arima
1970-01-26 00:00:00.000001959,86013.33333333321,73255.71139959288,98770.95526707354,arima
1970-01-27 00:00:00.000001959,86707.66666666654,73697.39402923029,99717.9393041028,arima
1970-01-28 00:00:00.000001959,87401.99999999987,74143.89037620385,100660.10962379588,arima
1970-01-29 00:00:00.000001959,88096.3333333332,74594.93535042925,101597.73131623714,arima
1970-01-30 00:00:00.000001959,88790.66666666653,75050.2873346054,102531.04599872766,arima
1970-01-31 00:00:00.000001959,89484.99999999985,75509.72537353534,103460.27462646436,arima
1970-02-01 00:00:00.000001959,90179.33333333318,75973.04678190558,104385.61988476079,arima
1970-02-02 00:00:00.000001959,90873.66666666651,76440.06509680727,105307.26823652575,arima
1970-02-03 00:00:00.000001959,91567.99999999984,76910.60831615605,106225.39168384363,arima
1970-02-04 00:00:00.000001959,92262.33333333317,77384.51737568055,107140.14929098579,arima
1970-02-05 00:00:00.000001959,92956.6666666665,77861.64482614062,108051.68850719238,arima
